,team,possession,possession in contest,goals,date,hour,stage,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,xg,attendance,stadium,referee,formation,touches,tackles,interceptions,aerials_won,clearances,gks,throw_ins,long_balls,rival,team_id,total attempts_against,goal inside the penalty area_against,goal outside the penalty area_against,assists_against,on target attempts_against,off target attempts_against,attempts inside the penalty area_against,attempts outside the penalty area_against,left channel_against,left inside channel_against,central channel_against,right inside channel_against,right channel_against,total offers to receive_against,inbehind offers to receive_against,inbetween offers to receive_against,infront offers to receive_against,receptions between midfield and defensive lines_against,attempted line breaks_against,completed line breaks_against,attempted defensive line breaks_against,completed defensive line breaks_against,yellow cards_against,red cards_against,fouls against_against,offsides_against,passes_against,passes completed_against,crosses_against,crosses completed_against,switches of play completed_against,corners_against,free kicks_against,penalties scored_against,goal preventions_against,own goals_against,forced turnovers_against,defensive pressures applied_against,xg_against,formation_against,touches_against,tackles_against,interceptions_against,aerials_won_against,clearances_against,gks_against,throw_ins_against,long_balls_against
40,Canada,52%,12%,1,1-Dec-22,16:00,Group stage,5,2,0,0,0,0,4,4,1,22,4,2,6,11,703,189,211,303,8,153,91,21,8,4,0,14,4,539,472,20,4,3,6,18,0,7,0,66,224,1.4,43102,Al Thumama Stadium,Raphael Claus,4-4-1-1,659,13,7,10,8,5,23,50,Morocco,202206,7,1,1,1,2,2,4,3,6,0,3,4,5,493,78,227,188,8,147,85,16,7,0,0,14,4,384,308,7,1,14,2,18,0,7,1,72,324,0.5,4-3-3,501,23,12,7,22,6,20,64
41,Croatia,43%,10%,0,1-Dec-22,16:00,Group stage,11,0,0,0,0,4,5,7,4,23,7,3,2,12,650,124,338,188,17,204,159,23,17,0,0,7,4,578,504,24,6,18,2,9,0,16,0,70,328,0.7,43984,Ahmed bin Ali Stadium,Anthony Taylor,4-3-3,703,9,6,10,24,7,27,73,Belgium,202208,15,0,0,0,4,7,12,3,18,5,7,4,9,581,123,181,277,12,177,115,26,14,1,0,9,0,596,531,24,8,4,4,11,0,11,0,68,346,3.0,4-2-3-1,743,14,7,10,25,8,15,79
42,Japan,14%,8%,2,1-Dec-22,20:00,Group stage,6,1,1,1,2,3,2,4,2,2,3,1,2,5,315,77,106,132,10,104,57,14,8,3,0,9,2,225,167,6,3,2,0,8,0,14,0,85,637,1.4,44851,Khalifa International Stadium,Victor Gomes,3-4-3,356,11,17,10,26,5,11,41,Spain,202216,14,1,0,1,5,3,7,7,30,9,6,11,22,1138,174,286,678,17,190,140,21,15,0,0,6,2,1070,992,20,2,9,2,11,0,6,0,49,150,1.0,4-3-3,1157,11,3,9,5,5,22,69
43,Costa Rica,27%,13%,2,1-Dec-22,20:00,Group stage,8,4,2,0,0,6,1,6,2,7,5,3,1,1,344,100,156,88,10,154,103,13,7,1,0,3,4,347,269,12,3,4,1,12,0,32,0,79,378,1.3,67054,Al Bayt Stadium,Stéphanie Frappart,5-4-1,509,21,8,12,45,13,15,74,Germany,202207,32,4,0,4,11,17,24,8,29,13,13,12,15,747,217,272,258,28,193,159,34,25,0,0,9,3,727,661,38,12,5,14,7,0,8,0,77,230,5.7,4-2-3-1,877,10,5,9,8,2,18,60
44,Ghana,46%,15%,0,2-Dec-22,16:00,Group stage,9,2,0,0,0,4,4,4,5,12,5,8,4,12,597,154,247,196,8,188,111,13,5,2,0,18,2,460,377,20,2,3,5,12,0,12,0,92,248,1.6,43443,Al Janoub Stadium,Daniel Siebert,4-2-3-1,620,23,7,11,17,9,32,63,Uruguay,202214,12,2,0,1,7,5,7,5,7,2,13,3,17,424,117,157,150,14,186,124,24,14,5,0,11,2,446,361,15,4,6,2,20,0,9,0,84,293,1.8,4-4-2,610,23,10,21,22,5,24,65
45,Korea Republic,34%,11%,2,2-Dec-22,16:00,Group stage,12,1,2,0,1,6,4,6,6,9,7,5,2,7,470,93,186,191,8,139,87,11,6,2,0,9,1,359,304,13,3,9,5,15,0,14,0,54,359,1.7,44097,Education City Stadium,Facundo Tello,4-3-3,490,11,8,17,20,9,15,80,Portugal,202217,12,1,0,1,4,6,5,7,23,7,5,8,12,740,159,195,386,12,178,123,21,12,0,0,11,5,606,541,22,6,11,4,10,0,12,0,50,233,1.3,4-3-3,708,12,6,9,12,7,20,90
46,Serbia,45%,14%,2,2-Dec-22,20:00,Group stage,11,3,2,0,1,4,6,10,1,17,6,4,4,10,577,92,214,271,7,157,95,10,5,7,0,18,0,476,390,23,6,7,2,14,0,14,0,74,276,1.3,41378,Stadium 974,Fernando Rapallini,3-4-1-2,601,13,6,19,9,7,23,72,Switzerland,202226,14,3,0,3,7,3,10,4,14,7,3,1,12,456,108,193,155,10,157,95,20,8,4,0,13,0,403,325,13,4,9,0,18,0,10,0,82,253,2.7,4-2-3-1,550,10,12,15,18,8,22,78
47,Cameroon,31%,13%,1,2-Dec-22,20:00,Group stage,7,0,1,0,1,3,3,5,2,8,8,4,4,9,397,88,144,165,9,144,92,16,7,5,1,14,0,295,239,12,3,4,3,15,0,20,0,78,321,0.5,85986,Lusail Iconic Stadium,Ismail Elfath,4-2-3-1,447,22,10,15,32,16,11,55,Brazil,202205,19,0,0,0,6,11,14,5,20,5,6,7,13,643,145,328,170,9,181,145,15,9,2,0,14,1,548,491,28,8,3,11,14,0,7,0,54,226,2.5,4-2-3-1,701,19,3,9,12,6,15,41
48,Netherlands,33%,13%,3,3-Dec-22,16:00,Round of 16,11,1,3,0,3,6,4,7,4,4,2,4,7,10,404,73,200,131,8,161,95,17,7,2,0,10,0,396,320,13,4,4,4,8,0,18,0,101,325,1.7,44846,Khalifa International Stadium,Wilton Sampaio,3-4-1-2,569,22,12,12,30,7,16,74,United States,202220,18,1,0,1,7,4,11,7,13,8,4,9,15,820,179,360,281,17,187,126,28,17,0,0,5,3,567,487,27,2,5,5,10,0,13,0,77,256,1.5,4-3-3,732,14,11,11,12,6,21,64
49,Argentina,53%,12%,2,3-Dec-22,20:00,Round of 16,14,1,2,0,1,5,7,11,3,15,6,11,2,17,869,131,337,401,8,181,135,16,8,0,0,8,4,711,635,6,1,5,1,15,0,5,1,67,240,1.6,45032,Ahmed bin Ali Stadium,Szymon Marciniak,4-3-3,827,15,7,13,20,4,24,47,Australia,202201,5,0,0,0,2,2,3,2,8,1,2,6,9,538,105,184,249,8,146,92,12,7,2,0,15,0,450,381,15,2,8,3,11,0,14,0,73,453,0.6,4-4-2,573,11,8,14,10,10,23,84
50,France,48%,10%,3,4-Dec-22,16:00,Round of 16,16,1,3,0,3,7,7,10,6,15,7,2,9,19,568,118,207,243,14,174,111,26,14,1,0,10,3,540,481,27,4,4,7,8,0,11,0,71,220,1.4,40989,Al Thumama Stadium,Jesús Valenzuela,4-2-3-1,685,11,9,12,10,11,19,61,Poland,202212,11,1,0,0,3,5,8,3,15,2,2,3,10,501,124,224,153,11,156,97,20,12,2,0,8,1,466,391,18,7,5,1,11,1,16,0,64,297,1.7,4-1-4-1,586,17,6,11,23,4,13,48
51,England,54%,11%,3,4-Dec-22,20:00,Round of 16,8,0,3,0,3,4,4,7,1,17,6,2,2,13,794,140,276,378,11,184,129,16,12,0,0,16,0,597,523,19,7,11,3,12,0,10,0,60,230,1.0,65985,Al Bayt Stadium,Iván Barton,4-3-3,718,21,9,9,10,11,18,79,Senegal,202211,10,0,0,0,2,6,4,6,8,1,0,4,9,489,95,193,201,7,159,86,15,7,1,0,12,0,393,320,13,3,7,3,16,0,8,0,74,339,0.8,4-2-3-1,489,11,6,18,17,6,15,65
52,Japan,35%,14%,1,5-Dec-22,16:00,Round of 16,12,1,1,0,1,4,4,5,7,14,6,6,6,18,692,157,270,265,8,229,116,21,8,0,0,13,3,532,414,28,6,5,8,16,0,18,0,100,405,1.2,42523,Al Janoub Stadium,Ismail Elfath,3-4-3,714,13,7,25,30,8,29,95,Croatia,202216,16,1,0,1,4,8,9,7,18,7,9,6,28,717,175,247,295,14,232,132,20,11,2,0,16,0,735,624,35,9,7,5,16,0,11,0,100,308,1.4,4-3-3,941,14,5,33,32,9,28,81
53,Brazil,47%,9%,4,5-Dec-22,20:00,Round of 16,18,1,4,0,3,9,8,14,4,20,5,5,7,15,666,149,257,260,17,193,145,21,17,0,0,8,0,616,556,18,4,9,5,16,1,10,0,73,310,3.6,43847,Stadium 974,Clément Turpin,4-2-3-1,738,15,12,7,10,6,15,47,Korea Republic,202204,10,0,1,0,6,2,6,4,19,4,3,5,21,547,116,270,161,15,188,137,20,14,1,0,13,5,548,486,14,1,13,4,8,0,18,0,81,329,0.5,4-4-2,659,21,11,12,11,8,13,56
54,Morocco,22%,10%,0,6-Dec-22,16:00,Round of 16,6,0,0,0,0,3,3,3,3,11,1,0,2,8,438,103,176,159,10,164,86,22,9,1,0,15,5,323,229,10,4,4,0,18,0,14,0,100,573,0.7,44667,Education City Stadium,Fernando Rapallini,4-3-3,514,26,8,10,41,13,29,72,Spain,202219,13,0,0,0,1,6,9,4,36,10,8,19,29,896,182,279,435,27,219,158,37,25,1,0,14,4,1041,967,27,4,8,8,20,0,6,0,66,217,1.0,4-3-3,1190,11,4,14,15,10,33,78
55,Portugal,43%,9%,6,6-Dec-22,20:00,Round of 16,14,1,6,0,5,9,2,9,5,8,3,6,6,8,614,134,241,239,9,165,98,16,8,0,0,12,3,461,392,14,6,7,6,13,0,10,0,71,357,2.3,83720,Lusail Iconic Stadium,César Arturo Ramos,4-3-3,571,16,8,10,11,5,18,74,Switzerland,202222,10,1,0,0,1,7,5,5,18,2,6,2,8,617,115,240,262,8,167,107,17,7,2,0,10,3,512,436,15,1,3,6,15,0,15,0,54,240,1.2,3-1-4-2,607,5,5,11,14,5,27,54
56,Croatia,45%,10%,1,9-Dec-22,16:00,Quarter-final,9,1,1,0,1,1,4,5,4,19,4,2,5,27,674,156,250,268,10,240,180,16,10,2,0,22,3,715,632,22,5,13,3,27,0,21,0,95,365,0.6,43893,Education City Stadium,Michael Oliver,4-3-3,887,28,9,13,32,10,12,66,Brazil,202208,20,1,0,1,11,4,12,8,25,10,15,8,20,737,153,239,345,11,185,121,19,10,3,0,24,3,695,625,25,6,4,7,25,0,9,0,77,423,2.5,4-2-3-1,877,16,13,11,16,7,24,49
57,Netherlands,45%,11%,2,9-Dec-22,20:00,Quarter-final,5,2,2,0,2,2,2,3,2,11,7,9,3,15,722,117,278,327,5,194,130,15,6,8,1,30,1,651,557,22,4,5,2,20,0,15,0,91,401,0.6,88235,Lusail Iconic Stadium,Antonio Matéu,3-4-1-2,804,18,15,19,17,9,29,93,Argentina,202220,15,2,0,1,6,8,5,10,7,7,13,6,17,644,97,278,269,7,203,122,24,8,8,0,18,2,603,511,16,4,4,8,30,1,5,0,79,323,1.9,5-3-2,758,19,6,12,20,9,19,57
58,Morocco,22%,13%,1,10-Dec-22,16:00,Quarter-final,9,0,1,0,1,3,6,5,4,4,1,4,1,3,339,68,150,121,6,128,63,13,3,3,1,15,2,229,171,8,3,4,3,11,0,11,0,88,373,1.4,44198,Al Thumama Stadium,Facundo Tello,4-3-3,395,12,9,11,36,12,11,61,Portugal,202219,11,0,0,0,3,6,7,4,27,10,8,7,20,780,205,208,367,19,167,118,23,18,1,0,9,2,678,592,33,7,9,9,17,0,10,0,44,165,0.9,4-3-3,802,12,9,13,3,9,27,73
59,England,54%,10%,1,10-Dec-22,20:00,Quarter-final,14,2,1,0,0,6,4,6,8,17,6,4,2,10,661,127,312,222,8,147,108,13,10,1,0,10,1,508,453,22,5,5,5,14,1,9,0,49,193,2.4,68895,Al Bayt Stadium,Wilton Sampaio,4-3-3,635,16,8,18,13,9,16,61,France,202211,9,1,1,2,5,3,6,3,15,2,7,2,13,401,84,136,181,7,136,87,14,8,3,0,14,2,369,310,13,6,2,2,11,0,15,0,54,308,0.9,4-2-3-1,499,10,5,19,16,5,14,62
60,Argentina,34%,12%,3,13-Dec-22,20:00,Semi-final,10,0,3,0,1,7,2,7,3,8,9,7,3,2,349,89,122,138,7,147,91,17,7,2,0,15,1,408,344,8,2,4,2,6,1,12,0,85,321,2.3,88966,Lusail Iconic Stadium,Daniele Orsato,4-4-2,541,22,8,6,22,9,19,49,Croatia,202201,12,0,0,0,3,7,6,6,18,6,7,4,8,643,136,291,216,3,182,129,9,1,2,0,8,0,624,551,20,4,8,4,16,0,10,0,63,260,0.5,4-3-3,739,19,5,7,6,4,21,43
61,France,34%,11%,2,14-Dec-22,20:00,Semi-final,14,0,2,0,0,2,8,12,2,9,6,3,2,6,330,82,99,149,8,126,85,12,8,0,0,11,4,358,307,5,2,1,2,13,0,13,0,72,328,1.9,68294,Al Bayt Stadium,César Arturo Ramos,4-2-3-1,510,22,19,15,16,8,14,55,Morocco,202212,13,0,0,0,1,6,8,5,10,4,6,6,19,702,136,314,252,15,141,95,18,11,1,0,11,3,583,518,22,1,8,3,15,0,14,0,47,218,0.9,5-4-1,696,15,8,10,3,10,18,40
62,Croatia,45%,10%,2,17-Dec-22,16:00,3rd place,14,1,2,0,2,4,8,7,7,20,8,3,2,7,519,117,198,204,15,164,114,23,12,0,0,13,2,491,430,21,3,7,6,13,0,7,0,75,288,0.7,44137,Khalifa International Stadium,Abdulrahman Ibrahim Al Jassim,4-2-3-1,624,20,8,6,19,12,14,53,Morocco,202208,7,1,0,0,2,5,5,2,13,1,3,7,16,609,127,202,280,10,150,97,14,8,2,0,11,2,494,428,20,5,12,3,15,0,14,0,72,277,1.2,4-3-3,609,10,10,8,16,11,19,46
63,Argentina,46%,14%,3,18-Dec-22,16:00,Final,21,3,3,0,1,9,9,10,11,13,6,8,9,9,607,146,257,204,43,223,151,38,23,4,0,26,4,648,544,20,4,6,6,22,1,11,0,87,280,3.3,88966,Lusail Iconic Stadium,Szymon Marciniak,4-3-3,845,23,10,9,24,6,26,73,France,202201,10,3,0,1,5,3,7,3,15,7,5,4,12,507,105,207,195,10,163,99,14,9,3,0,19,4,516,419,24,3,5,5,28,2,21,0,104,409,2.2,4-2-3-1,737,26,10,22,18,13,21,94
64,Ecuador,50%,8%,2,20-Nov-22,17:00,Group stage,6,0,2,0,1,3,3,4,2,8,7,6,4,6,532,127,187,218,8,155,99,13,7,2,0,15,4,480,409,14,4,9,3,17,1,5,0,72,279,1.2,67372,Al Bayt Stadium,Daniele Orsato,4-4-2,601,14,12,13,7,7,17,70,Qatar,202210,5,0,0,0,0,5,2,3,15,0,3,1,9,520,116,235,169,5,136,86,9,4,4,0,15,3,450,381,9,4,9,1,19,0,6,0,52,256,0.3,5-3-2,549,10,2,14,18,4,20,51
65,Iran,19%,9%,2,21-Nov-22,14:00,Group stage,8,6,2,0,1,3,4,6,2,3,0,3,1,0,212,53,86,73,4,101,45,7,4,2,0,14,2,224,154,8,1,3,0,10,1,13,0,72,416,1.4,45334,Khalifa International Stadium,Raphael Claus,5-4-1,341,12,16,10,23,5,17,50,England,202215,13,6,0,6,7,3,10,3,11,5,2,3,11,1061,207,386,468,16,238,178,25,16,0,0,9,2,809,730,23,7,12,8,16,0,8,0,63,139,2.1,4-2-3-1,922,13,7,10,4,5,18,87
66,Netherlands,45%,11%,2,21-Nov-22,17:00,Group stage,9,0,2,0,1,3,5,5,4,11,2,2,7,20,506,117,191,198,14,162,96,22,10,1,0,13,1,438,374,25,8,6,7,14,0,15,0,73,251,0.7,41721,Al Thumama Stadium,Wilton Sampaio,3-4-1-2,573,10,6,20,16,10,28,66,Senegal,202220,14,0,0,0,3,8,7,7,12,4,2,4,13,502,123,230,149,15,151,89,22,15,2,0,13,2,383,313,19,7,9,6,14,0,9,0,63,263,0.9,4-2-3-1,531,14,10,22,32,6,17,64
67,Wales,39%,10%,1,21-Nov-22,20:00,Group stage,7,1,1,0,0,3,3,5,2,7,2,5,2,7,436,100,172,164,9,174,103,17,8,2,0,10,1,409,321,15,6,8,3,15,1,7,0,72,292,1.5,43418,Ahmed bin Ali Stadium,Abdulrahman Ibrahim Al Jassim,3-5-2,568,18,8,12,31,10,25,90,United States,202232,6,1,0,1,1,4,4,2,14,5,4,4,11,725,149,336,240,12,199,146,23,15,4,0,15,1,569,509,31,4,5,5,11,0,7,0,81,242,0.8,4-3-3,724,14,6,14,18,5,22,56
68,Saudi Arabia,24%,12%,2,22-Nov-22,11:00,Group stage,3,1,2,0,1,2,0,3,0,3,2,3,3,8,268,69,131,68,9,137,68,15,7,6,0,21,1,267,190,9,2,7,2,16,0,14,0,80,361,0.1,88012,Lusail Iconic Stadium,Slavko Vinčič,4-1-4-1,411,18,14,7,26,9,13,59,Argentina,202224,14,1,0,0,6,5,10,4,12,4,5,8,18,650,157,177,316,26,191,127,39,25,0,0,7,10,610,529,29,12,5,9,22,1,4,0,65,163,2.2,4-4-2,753,17,9,16,11,3,24,55
69,Tunisia,33%,12%,0,22-Nov-22,14:00,Group stage,11,0,0,0,0,1,7,6,5,9,2,2,3,6,477,89,204,184,7,174,85,17,6,1,0,10,1,387,302,13,3,1,9,10,0,11,0,73,287,0.9,42925,Education City Stadium,César Arturo Ramos,3-4-3,545,24,8,13,38,6,24,77,Denmark,202229,11,0,0,0,4,4,7,4,17,4,7,6,18,681,152,276,253,14,190,136,21,12,2,0,9,1,594,523,27,10,11,11,11,0,11,0,76,226,1.4,3-5-2,751,12,11,20,12,6,24,84
70,Poland,31%,15%,0,22-Nov-22,17:00,Group stage,8,0,0,0,0,1,4,7,1,8,6,6,4,13,296,72,101,123,3,150,82,12,2,1,0,16,0,322,241,10,2,1,5,16,0,15,0,70,290,0.9,39369,Stadium 974,Chris Beath,4-1-4-1,469,17,8,18,29,9,23,79,Mexico,202221,13,0,0,0,4,5,10,3,20,6,1,3,27,547,128,202,217,20,170,117,32,19,2,0,14,3,485,422,33,8,9,6,16,0,8,0,61,193,0.7,4-3-3,649,16,5,16,19,7,21,64
71,Australia,35%,9%,1,22-Nov-22,20:00,Group stage,4,4,1,0,1,1,3,2,2,11,2,5,1,9,521,95,208,218,7,133,84,15,7,3,0,11,0,466,399,9,2,5,1,5,0,22,0,56,316,0.5,40875,Al Janoub Stadium,Victor Gomes,4-1-4-1,563,13,9,8,23,10,21,53,France,202202,22,4,0,4,7,9,18,4,30,6,3,8,19,691,150,182,359,26,173,135,32,27,0,0,5,0,734,672,34,17,6,8,11,0,4,0,64,250,4.0,4-2-3-1,870,20,12,16,6,8,17,60
72,Croatia,57%,12%,0,23-Nov-22,11:00,Group stage,6,0,0,0,0,2,2,4,2,12,3,6,5,7,626,99,197,330,9,169,116,18,9,0,0,11,1,667,592,19,4,7,5,17,0,8,0,58,217,0.5,59407,Al Bayt Stadium,Fernando Rapallini,4-3-3,783,17,10,12,11,5,27,57,Morocco,202208,8,0,0,0,2,0,3,5,8,1,6,0,11,498,106,193,199,4,142,81,10,4,1,0,17,0,360,290,10,1,6,0,12,0,7,0,87,391,0.4,4-3-3,502,21,13,14,21,4,22,47
73,Japan,22%,13%,2,23-Nov-22,14:00,Group stage,10,1,2,0,1,3,6,10,0,5,0,3,3,11,346,102,146,98,10,113,70,17,11,0,0,14,4,261,207,16,3,2,6,10,0,26,0,87,487,1.5,42608,Khalifa International Stadium,Iván Barton,4-2-3-1,440,29,6,12,38,10,12,64,Germany,202216,25,1,0,0,9,11,15,10,24,9,14,5,21,865,199,366,300,19,241,185,23,20,0,0,6,4,820,743,28,9,4,6,17,1,12,0,55,164,3.1,4-2-3-1,932,11,3,21,4,8,33,64
74,Costa Rica,17%,9%,0,23-Nov-22,17:00,Group stage,0,7,0,0,0,0,0,0,0,5,0,1,0,1,250,52,104,94,1,119,58,11,1,2,0,12,7,231,170,5,0,1,0,11,0,17,0,76,585,0.0,40013,Al Thumama Stadium,Mohammed Abdulla Hassan,4-4-2,343,21,14,13,18,10,13,49,Spain,202207,17,7,0,4,7,8,12,5,30,4,8,6,12,1085,180,418,487,23,276,233,34,22,0,0,8,3,1061,1003,17,2,8,5,18,1,0,0,46,185,3.5,4-3-3,1179,14,4,9,4,0,24,58
75,Canada,43%,11%,0,23-Nov-22,20:00,Group stage,21,1,0,0,0,4,12,16,5,17,6,8,5,20,582,140,279,163,15,176,123,23,13,2,0,14,1,448,382,19,6,6,4,10,0,9,0,47,320,2.4,40432,Ahmed bin Ali Stadium,Janny Sikazwe,3-4-3,585,13,5,7,4,7,28,66,Belgium,202206,9,1,0,1,3,6,6,3,6,3,5,2,6,618,115,268,235,8,175,118,13,6,3,0,11,0,512,439,8,5,4,4,15,0,21,0,74,284,0.8,3-4-3,658,19,3,8,29,18,16,70
76,Cameroon,46%,11%,0,24-Nov-22,11:00,Group stage,7,1,0,0,0,3,2,6,1,9,12,3,5,18,561,109,248,204,5,182,103,16,4,1,0,10,2,500,424,20,4,8,5,14,0,8,0,79,316,0.7,39089,Al Janoub Stadium,Facundo Tello,4-3-3,633,12,11,12,17,9,12,73,Switzerland,202205,8,1,0,1,3,4,6,2,19,2,11,6,16,609,153,256,200,13,178,123,21,13,2,0,12,2,497,437,28,6,4,11,11,0,7,0,64,313,1.4,4-2-3-1,634,15,3,14,20,4,16,53
77,Korea Republic,38%,13%,0,24-Nov-22,14:00,Group stage,6,0,0,0,0,0,5,1,5,15,0,4,4,19,551,136,228,187,8,185,96,17,8,1,0,10,0,419,340,19,3,9,3,8,0,10,0,54,231,0.6,41663,Education City Stadium,Clément Turpin,4-2-3-1,557,12,10,21,16,9,28,75,Uruguay,202217,10,0,0,0,0,6,7,3,13,4,4,6,14,566,157,155,254,4,146,88,16,7,1,0,7,1,528,459,16,4,10,4,10,0,6,0,65,240,0.6,4-3-3,693,16,10,25,20,8,22,82
78,Ghana,35%,10%,2,24-Nov-22,17:00,Group stage,8,3,2,0,2,3,5,2,6,7,9,6,3,3,459,87,187,185,5,150,88,12,4,4,0,19,1,394,326,12,3,2,3,15,0,11,0,82,326,0.9,42662,Stadium 974,Ismail Elfath,5-3-2,502,14,6,7,17,12,11,49,Portugal,202214,11,3,0,2,5,3,7,4,24,6,7,4,10,762,168,308,286,20,198,149,26,18,2,0,14,1,636,573,17,4,13,3,19,1,8,0,70,286,2.0,4-3-3,740,16,5,19,15,6,9,56
79,Serbia,34%,13%,0,24-Nov-22,20:00,Group stage,4,2,0,0,0,0,3,1,3,10,3,4,3,7,414,67,185,162,4,140,91,15,6,3,0,12,0,403,341,13,3,6,4,8,0,24,0,71,338,0.2,88103,Lusail Iconic Stadium,Alireza Faghani,3-4-3,552,24,11,11,22,10,15,63,Brazil,202226,24,2,0,1,10,9,11,13,14,9,10,7,20,727,144,275,308,11,184,134,16,10,0,0,7,1,585,526,19,3,6,6,12,0,4,0,72,236,2.4,4-2-3-1,746,17,2,8,16,6,24,42
80,Iran,33%,16%,2,25-Nov-22,11:00,Group stage,21,0,1,1,1,6,6,7,14,7,3,7,4,7,343,109,149,85,9,185,92,24,10,2,0,10,2,295,202,26,4,5,7,11,0,9,0,84,276,1.4,40875,Ahmed bin Ali Stadium,Mario Escobar,4-3-3,468,19,14,15,20,8,18,86,Wales,202215,10,0,0,0,3,4,5,5,18,3,8,11,13,722,135,286,301,13,208,129,17,8,1,1,9,2,508,413,20,5,13,2,12,0,21,0,89,161,0.9,3-5-2,688,10,6,21,30,8,30,93
81,Senegal,48%,10%,3,25-Nov-22,14:00,Group stage,12,1,3,0,2,4,6,10,2,26,4,6,4,18,553,136,190,227,12,184,113,19,9,3,0,12,3,511,445,20,6,9,7,11,0,11,0,67,232,0.8,41797,Al Thumama Stadium,Antonio Matéu,4-4-2,640,8,5,15,18,8,22,73,Qatar,202225,10,1,0,1,2,7,4,6,7,5,2,5,11,511,109,199,203,9,174,117,13,7,3,0,7,4,424,353,18,5,12,6,15,0,12,0,67,308,1.0,5-3-2,505,16,10,12,16,11,10,66
82,Ecuador,39%,13%,1,25-Nov-22,17:00,Group stage,13,1,1,0,0,5,3,8,5,10,5,2,5,4,541,86,276,179,12,155,84,22,10,1,0,12,4,425,345,22,4,2,5,16,0,2,0,52,279,1.7,44833,Khalifa International Stadium,Mustapha Ghorbal,3-4-3,575,16,9,15,16,5,29,71,Netherlands,202210,2,0,1,1,1,1,0,2,8,8,2,4,11,632,129,267,236,4,168,115,9,4,0,0,15,1,524,451,8,0,6,2,16,0,14,0,85,254,0.1,3-4-1-2,650,25,9,18,23,7,21,52
83,United States,40%,9%,0,25-Nov-22,20:00,Group stage,10,0,0,0,0,2,7,6,4,12,0,1,6,8,539,129,238,172,6,143,88,15,5,0,0,15,0,427,368,16,2,2,7,10,0,8,0,61,350,0.6,68463,Al Bayt Stadium,Jesús Valenzuela,4-4-2,556,12,3,10,15,3,16,62,England,202230,8,0,0,0,3,4,6,2,11,2,7,5,11,676,116,290,270,10,208,147,23,10,0,0,9,1,550,488,13,4,9,3,15,0,10,0,52,266,0.8,4-2-3-1,655,9,9,11,21,7,18,59
84,Australia,31%,19%,1,26-Nov-22,11:00,Group stage,8,0,1,0,1,2,3,5,3,11,3,4,7,19,342,108,120,114,8,171,91,19,10,0,0,15,0,334,239,23,4,2,2,19,0,13,0,88,273,0.6,41823,Al Janoub Stadium,Daniel Siebert,4-4-2,551,19,11,24,38,8,22,83,Tunisia,202202,13,0,0,0,4,5,9,4,12,8,7,6,11,710,166,291,253,13,200,109,23,11,3,0,16,3,501,396,23,5,6,5,15,0,9,0,81,217,0.9,3-4-3,687,18,8,26,24,5,40,99
85,Saudi Arabia,57%,14%,0,26-Nov-22,14:00,Group stage,16,2,0,0,0,5,9,9,7,21,6,5,7,15,661,156,264,241,22,205,153,27,19,2,0,15,0,560,494,24,4,13,5,17,0,9,0,53,173,1.7,44259,Education City Stadium,Wilton Sampaio,4-1-4-1,687,14,9,20,13,7,20,58,Poland,202224,8,2,0,1,3,3,8,0,7,2,4,8,13,428,140,164,124,14,150,84,22,12,3,0,18,0,303,236,19,8,5,4,15,0,16,0,69,329,1.6,4-4-2,454,13,9,15,29,14,21,80
86,Denmark,44%,12%,1,26-Nov-22,17:00,Group stage,10,2,1,0,1,2,6,5,5,13,5,3,4,25,615,171,268,176,17,173,132,23,15,2,0,9,1,537,473,18,4,14,4,5,0,21,0,61,282,0.6,42860,Stadium 974,Szymon Marciniak,3-4-3,677,19,5,14,18,6,22,62,France,202209,21,2,0,2,6,8,16,5,15,7,4,1,13,630,111,226,293,11,155,105,16,12,1,0,4,1,503,437,23,12,7,6,10,0,10,0,79,269,2.4,4-2-3-1,642,20,10,9,15,11,22,74
87,Mexico,36%,14%,0,26-Nov-22,20:00,Group stage,4,2,0,0,0,1,2,1,3,8,1,1,2,11,373,78,151,144,5,127,66,13,5,4,0,19,4,356,287,17,4,2,2,17,0,5,0,79,327,0.3,88966,Lusail Iconic Stadium,Daniele Orsato,5-3-2,503,18,13,14,17,8,19,54,Argentina,202218,5,1,1,2,2,3,2,3,10,6,2,4,12,569,103,244,222,2,150,100,10,5,1,0,15,2,533,464,14,2,3,4,23,0,4,0,63,220,0.3,4-4-2,668,14,7,15,18,6,21,41
