,team,possession,possession in contest,goals,date,hour,stage,total attempts,conceded,goal inside the penalty area,goal outside the penalty area,assists,on target attempts,off target attempts,attempts inside the penalty area,attempts outside the penalty area,left channel,left inside channel,central channel,right inside channel,right channel,total offers to receive,inbehind offers to receive,inbetween offers to receive,infront offers to receive,receptions between midfield and defensive lines,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,yellow cards,red cards,fouls against,offsides,passes,passes completed,crosses,crosses completed,switches of play completed,corners,free kicks,penalties scored,goal preventions,own goals,forced turnovers,defensive pressures applied,xg,attendance,stadium,referee,formation,touches,tackles,interceptions,aerials_won,clearances,gks,throw_ins,long_balls,rival,team_id,total attempts_against,goal inside the penalty area_against,goal outside the penalty area_against,assists_against,on target attempts_against,off target attempts_against,attempts inside the penalty area_against,attempts outside the penalty area_against,left channel_against,left inside channel_against,central channel_against,right inside channel_against,right channel_against,total offers to receive_against,inbehind offers to receive_against,inbetween offers to receive_against,infront offers to receive_against,receptions between midfield and defensive lines_against,attempted line breaks_against,completed line breaks_against,attempted defensive line breaks_against,completed defensive line breaks_against,yellow cards_against,red cards_against,fouls against_against,offsides_against,passes_against,passes completed_against,crosses_against,crosses completed_against,switches of play completed_against,corners_against,free kicks_against,penalties scored_against,goal preventions_against,own goals_against,forced turnovers_against,defensive pressures applied_against,xg_against,formation_against,touches_against,tackles_against,interceptions_against,aerials_won_against,clearances_against,gks_against,throw_ins_against,long_balls_against
10,Spain,74%,9%,7,23-Nov-22,17:00,Group stage,17,0,7,0,4,7,8,12,5,30,4,8,6,12,1085,180,418,487,23,276,233,34,22,0,0,8,3,1061,1003,17,2,8,5,18,1,0,0,46,185,3.5,40013,Al Thumama Stadium,Mohammed Abdulla Hassan,4-3-3,1179,14,4,9,4,0,24,58,Costa Rica,202227,0,0,0,0,0,0,0,0,5,0,1,0,1,250,52,104,94,1,119,58,11,1,2,0,12,7,231,170,5,0,1,0,11,0,17,0,76,585,0.0,4-4-2,343,21,14,13,18,10,13,49
11,Belgium,46%,11%,1,23-Nov-22,20:00,Group stage,9,0,1,0,1,3,6,6,3,6,3,5,2,6,618,115,268,235,8,175,118,13,6,3,0,11,0,512,439,8,5,4,4,15,0,21,0,74,284,0.8,40432,Ahmed bin Ali Stadium,Janny Sikazwe,3-4-3,658,19,3,8,29,18,16,70,Canada,202203,21,0,0,0,4,12,16,5,17,6,8,5,20,582,140,279,163,15,176,123,23,13,2,0,14,1,448,382,19,6,6,4,10,0,9,0,47,320,2.4,3-4-3,585,13,5,7,4,7,28,66
12,Switzerland,43%,11%,1,24-Nov-22,11:00,Group stage,8,0,1,0,1,3,4,6,2,19,2,11,6,16,609,153,256,200,13,178,123,21,13,2,0,12,2,497,437,28,6,4,11,11,0,7,0,64,313,1.4,39089,Al Janoub Stadium,Facundo Tello,4-2-3-1,634,15,3,14,20,4,16,53,Cameroon,202228,7,0,0,0,3,2,6,1,9,12,3,5,18,561,109,248,204,5,182,103,16,4,1,0,10,2,500,424,20,4,8,5,14,0,8,0,79,316,0.7,4-3-3,633,12,11,12,17,9,12,73
13,Uruguay,49%,13%,0,24-Nov-22,14:00,Group stage,10,0,0,0,0,0,6,7,3,13,4,4,6,14,566,157,155,254,4,146,88,16,7,1,0,7,1,528,459,16,4,10,4,10,0,6,0,65,240,0.6,41663,Education City Stadium,Clément Turpin,4-3-3,693,16,10,25,20,8,22,82,Korea Republic,202231,6,0,0,0,0,5,1,5,15,0,4,4,19,551,136,228,187,8,185,96,17,8,1,0,10,0,419,340,19,3,9,3,8,0,10,0,54,231,0.6,4-2-3-1,557,12,10,21,16,9,28,75
14,Portugal,55%,10%,3,24-Nov-22,17:00,Group stage,11,2,3,0,2,5,3,7,4,24,6,7,4,10,762,168,308,286,20,198,149,26,18,2,0,14,1,636,573,17,4,13,3,19,1,8,0,70,286,2.0,42662,Stadium 974,Ismail Elfath,4-3-3,740,16,5,19,15,6,9,56,Ghana,202222,8,2,0,2,3,5,2,6,7,9,6,3,3,459,87,187,185,5,150,88,12,4,4,0,19,1,394,326,12,3,2,3,15,0,11,0,82,326,0.9,5-3-2,502,14,6,7,17,12,11,49
15,Brazil,53%,13%,2,24-Nov-22,20:00,Group stage,24,0,2,0,1,10,9,11,13,14,9,10,7,20,727,144,275,308,11,184,134,16,10,0,0,7,1,585,526,19,3,6,6,12,0,4,0,72,236,2.4,88103,Lusail Iconic Stadium,Alireza Faghani,4-2-3-1,746,17,2,8,16,6,24,42,Serbia,202204,4,0,0,0,0,3,1,3,10,3,4,3,7,414,67,185,162,4,140,91,15,6,3,0,12,0,403,341,13,3,6,4,8,0,24,0,71,338,0.2,3-4-3,552,24,11,11,22,10,15,63
16,Wales,51%,16%,0,25-Nov-22,11:00,Group stage,10,2,0,0,0,3,4,5,5,18,3,8,11,13,722,135,286,301,13,208,129,17,8,1,1,9,2,508,413,20,5,13,2,12,0,21,0,89,161,0.9,40875,Ahmed bin Ali Stadium,Mario Escobar,3-5-2,688,10,6,21,30,8,30,93,Iran,202232,21,1,1,1,6,6,7,14,7,3,7,4,7,343,109,149,85,9,185,92,24,10,2,0,10,2,295,202,26,4,5,7,11,0,9,0,84,276,1.4,4-3-3,468,19,14,15,20,8,18,86
17,Qatar,42%,10%,1,25-Nov-22,14:00,Group stage,10,3,1,0,1,2,7,4,6,7,5,2,5,11,511,109,199,203,9,174,117,13,7,3,0,7,4,424,353,18,5,12,6,15,0,12,0,67,308,1.0,41797,Al Thumama Stadium,Antonio Matéu,5-3-2,505,16,10,12,16,11,10,66,Senegal,202223,12,3,0,2,4,6,10,2,26,4,6,4,18,553,136,190,227,12,184,113,19,9,3,0,12,3,511,445,20,6,9,7,11,0,11,0,67,232,0.8,4-4-2,640,8,5,15,18,8,22,73
18,Netherlands,48%,13%,1,25-Nov-22,17:00,Group stage,2,1,0,1,1,1,1,0,2,8,8,2,4,11,632,129,267,236,4,168,115,9,4,0,0,15,1,524,451,8,0,6,2,16,0,14,0,85,254,0.1,44833,Khalifa International Stadium,Mustapha Ghorbal,3-4-1-2,650,25,9,18,23,7,21,52,Ecuador,202220,13,1,0,0,5,3,8,5,10,5,2,5,4,541,86,276,179,12,155,84,22,10,1,0,12,4,425,345,22,4,2,5,16,0,2,0,52,279,1.7,3-4-3,575,16,9,15,16,5,29,71
19,England,51%,9%,0,25-Nov-22,20:00,Group stage,8,0,0,0,0,3,4,6,2,11,2,7,5,11,676,116,290,270,10,208,147,23,10,0,0,9,1,550,488,13,4,9,3,15,0,10,0,52,266,0.8,68463,Al Bayt Stadium,Jesús Valenzuela,4-2-3-1,655,9,9,11,21,7,18,59,United States,202211,10,0,0,0,2,7,6,4,12,0,1,6,8,539,129,238,172,6,143,88,15,5,0,0,15,0,427,368,16,2,2,7,10,0,8,0,61,350,0.6,4-4-2,556,12,3,10,15,3,16,62
